career,beginner,intermediate,advanced,projects,tools
Machine Learning Researcher,"Python, Linear Algebra, Probability","Machine Learning, Data Preprocessing","Deep Learning, Research Papers, Model Optimization","Build ML Model, Research Paper Implementation","PyTorch, TensorFlow, Jupyter"
Data Scientist,"Python, Statistics, Excel","Pandas, Data Visualization","Machine Learning, Data Modeling","Data Analysis Project, Dashboard","Python, SQL, Power BI"
Software Engineer,"Programming Basics, OOP","Data Structures, Algorithms","System Design, Backend Systems","Build Web App, API System","Git, Node.js, Docker"
Web Developer,"HTML, CSS, JavaScript","Frontend Frameworks, APIs","Full Stack Development","Portfolio Website, Fullstack App","React, Node.js"
Information Security Analyst,"Networking Basics, Linux","Security Fundamentals, Cryptography","Risk Analysis, Threat Detection","Security Audit Project","Wireshark, Metasploit"
Machine Learning Engineer,"Python, ML Basics","Model Training, Feature Engineering","MLOps, Deployment","Deploy ML Model","Docker, FastAPI"
Database Administrator,"SQL Basics, Database Concepts","Database Design, Indexing","Optimization, Backup Systems","Design Database System","MySQL, PostgreSQL"
Cloud Solutions Architect,"Cloud Basics, Networking, Linux","Microservices, APIs, Docker","AWS, Kubernetes, System Design","Deploy Web App, Cloud Architecture Project","AWS, Docker, Kubernetes"
Mobile App Developer,"Programming Basics, UI Design","App Development, APIs","Advanced Mobile Architecture","Build Mobile App","Flutter, Android Studio"
Graphics Programmer,"C++, Math Basics","Rendering Techniques, OpenGL","Shaders, Game Engines","Graphics Demo Project","OpenGL, Unity"
NLP Research Scientist,"Python, Linguistics Basics","Text Processing, NLP Models","Transformers, BERT","Build NLP Model","HuggingFace, PyTorch"
Game Developer,"Programming Basics, Game Logic","Game Engines, Physics","Advanced Game Systems","Create Game","Unity, Unreal"
Security Analyst,"Networking, OS Basics","Vulnerability Analysis","Security Monitoring","Security Analysis Project","Kali Linux"
Embedded Software Engineer,"C Programming, Electronics","Microcontrollers","Embedded Systems Design","Build Embedded System","Arduino, Raspberry Pi"
Data Analyst,"Excel, Data Basics","SQL, Data Cleaning","Visualization, BI Tools","Dashboard Project","Excel, Power BI"
Robotics Engineer,"Math, Programming","Control Systems","AI Robotics","Build Robot","ROS, Python"
Ethical Hacker,"Networking Basics","Penetration Testing","Advanced Exploitation","Ethical Hacking Lab","Kali Linux"
Computer Vision Engineer,"Python, Math","Image Processing","Deep Learning Vision","Object Detection Project","OpenCV, TensorFlow"
DevOps Engineer,"Linux Basics","CI/CD","Automation, Scaling","Deploy Pipeline","Docker, Kubernetes"
Bioinformatician,"Biology Basics","Data Analysis","Genomics","Bio Data Project","Python"
IoT Developer,"Electronics, Programming","Sensors, Communication","IoT Systems","Smart Device Project","Arduino"
NLP Engineer,"Python, NLP Basics","Text Processing","Chatbot Development","Build Chatbot","NLTK, Transformers"
UX Designer,"Design Basics","Wireframing","User Experience Optimization","Design App UI","Figma"
Healthcare IT Specialist,"Healthcare Systems","Data Management","Security Compliance","Health App Project","SQL"
Quantum Computing Researcher,"Math, Physics","Quantum Basics","Quantum Algorithms","Quantum Simulation","Qiskit"
VR Developer,"3D Basics","VR Development","Advanced Interaction","VR App Project","Unity"
Blockchain Engineer,"Programming Basics","Blockchain Concepts","Smart Contracts","Build Blockchain App","Solidity"
SEO Specialist,"Content Basics","SEO Techniques","Analytics","Website Optimization","Google Analytics"
Data Privacy Specialist,"Law Basics","Data Protection","Compliance","Privacy Audit","Security Tools"
Geospatial Analyst,"Mapping Basics","GIS Tools","Spatial Analysis","GIS Project","ArcGIS"
Distributed Systems Engineer,"System Basics","Networking, APIs","Scalable Systems","Distributed App","Docker"
Digital Forensics Specialist,"Security Basics","Investigation Techniques","Advanced Forensics","Forensics Case Study","Autopsy"
AI Researcher,"Math, Programming","ML Basics","Advanced AI Models","AI Project","PyTorch"
